ID,R_min,R_max,R_mean,R_median,R_std,G_min,G_max,G_mean,G_median,G_std,B_min,B_max,B_mean,B_median,B_std,pixel_ratio,area,perimeter,circularity_laplacian,bounding_box_ratio,center_mass_x,center_mass_y
42,3,255,108.27123514192391,102.0,46.35064452495272,0,255,92.4546783487848,91.0,45.368179585141895,0,255,76.25330327922966,68.0,42.863069925177264,0.013253875,318093,4231,0.22329444827301786,1.027027027027027,2646.0269072252454,2131.8254975746086
43,11,255,119.0475448654038,122.0,47.99796880583717,0,255,85.42250403960533,84.0,44.95245864802464,0,255,76.48012857977791,79.0,42.7223091356597,0.019391333333333333,465392,4947,0.23897086570468695,0.8012422360248447,3330.6757486162205,2194.1604153058065
44,9,255,127.00183867456124,127.0,48.30789912343073,0,255,103.29353742399702,106.0,45.1959315936269,0,255,88.42585561426334,85.0,45.46596517587922,0.012554333333333334,301304,3483,0.31211009247127447,0.8389830508474576,3187.6207285664977,2130.733637787749
45,9,235,89.05096857116627,79.0,46.040288134023065,6,217,74.80014689230957,68.0,42.82184800071397,0,250,47.33235609144046,32.0,42.04209301943399,0.013615416666666666,326770,4195,0.23333941880704304,0.9702970297029703,3079.6751476573736,1994.453376992992
46,5,255,98.75631484772913,98.0,45.116983404329694,0,243,84.42244744012564,84.0,42.30267497143755,0,241,68.4666369442725,60.0,44.161856556184176,0.020934458333333333,502427,4679,0.2883877067903793,0.9551282051282052,2789.11421559749,1724.2014780256634
47,3,255,94.8547272202047,87.0,59.198221012850674,0,243,82.9542581435017,78.0,52.42729801160636,0,255,109.70195746671068,97.0,66.94287514806337,0.012116,290784,3715,0.2647663169554275,1.007936507936508,3323.0937878287664,2064.5031844943323
48,6,255,109.06776568767377,111.0,62.73058274468275,4,237,89.05055583925835,87.0,54.26655384488815,4,255,110.66532671651106,101.0,66.23459967379456,0.009546375,229113,3047,0.3101092263826215,0.696969696969697,3113.5139429015376,2023.9430150187898
49,32,255,181.83911814399312,189.0,38.70784946363298,14,255,184.90425576725966,192.0,37.773434693499425,17,255,159.38617355368032,155.0,44.09615550758479,0.01780525,427326,2736,0.7173597337033824,0.8561643835616438,2863.260264996747,2177.886725825248
50,10,255,122.11744739626191,121.0,54.72590692677946,4,250,95.00974827453022,88.0,53.278151485722134,4,255,104.86522653612991,102.0,56.3744061622761,0.019849666666666668,476392,5086,0.23143104275797538,0.8493150684931506,2803.9724008799476,2302.9514097633883
51,5,247,129.2709602789892,135.0,52.81239303662712,2,248,108.5601475482077,108.0,50.47306293529595,2,255,131.83512703429622,134.0,58.2764068959622,0.021936333333333332,526472,4482,0.3293376923868616,1.38135593220339,3125.997105259159,1520.1725143977267
52,7,245,109.41142564077415,110.0,47.05223512411098,0,240,97.11783828625605,98.0,47.8768050166617,6,255,105.92190564927422,102.0,51.5217163980035,0.020392,489408,4120,0.36231515161824107,0.937984496124031,2943.5635706813127,1614.9186363933568
53,19,255,124.50289953991607,118.0,48.61106263466452,0,234,105.12211436371909,102.0,46.842134271510666,1,241,105.59176146417919,98.0,46.93231968967758,0.0164825,395580,3436,0.42105407982655657,0.7704918032786885,2652.7513423327773,2413.306203549219
54,7,234,111.74148166995315,104.0,55.12735174473065,0,240,99.25816494568483,91.0,55.87585840050301,0,238,84.50671783672229,70.0,53.71306247538559,0.01179075,282978,3956,0.22722178695860848,1.0092592592592593,3274.4435963219757,1353.196990578773
55,4,220,71.99095195024037,67.0,40.42840314215665,0,191,47.837197056053924,38.0,38.23780394746878,0,170,33.5946963126332,22.0,31.981206024457013,0.013451333333333333,322832,3920,0.2640063097519367,0.9285714285714286,3074.1406923725035,2400.082086038559
56,0,255,92.5645533253855,80.0,54.07594998993741,0,255,76.86732659722087,67.0,50.86139309163242,0,255,59.92730177653566,47.0,43.963559584285626,0.008527833333333333,204668,2634,0.37070485037609874,1.3472222222222223,2988.3611702855355,2255.087869134403
57,0,255,94.59632293741261,83.0,54.8550832070038,0,255,79.68334463324717,69.0,52.26630391162066,0,255,62.76728886817238,49.0,45.39312148954312,0.007866333333333333,188792,2647,0.33859892010853054,1.3333333333333333,2821.1126954531974,1992.5155515064198
58,3,255,74.82939508506617,68.0,49.49227729865104,1,255,60.47057527794688,54.0,43.824063296595405,0,255,52.16240668354106,39.0,43.68838297700684,0.010403666666666667,249688,3301,0.2879496042807508,1.1927710843373494,3171.9594533978407,2528.408493800263
59,3,255,84.08003167269611,74.0,57.53349456179204,0,255,68.2764568713769,60.0,51.72035802733615,0,255,62.41357930523471,43.0,54.71550666708135,0.0114715,275316,3811,0.23821188055461323,1.04,3350.3950369756935,2479.8780746487673
60,6,255,107.65947527052766,104.0,54.976860601758226,6,255,85.07537099441154,78.0,51.04521187023133,0,255,68.8714130230027,57.0,46.31843397196173,0.007962833333333334,191108,2996,0.26755009743368074,1.0680272108843538,2849.223308286414,2097.301933984972
61,4,211,75.80724840901736,70.0,49.46692969852889,3,193,52.755802551455666,47.0,34.12138298515471,3,240,69.63907247428442,58.0,46.39927561159466,0.016996833333333333,407924,4915,0.2121983864657356,0.84472049689441,3714.8145929143666,2336.4172051656683
62,3,193,59.279951714910204,49.0,40.58584645452308,0,182,40.5533088999144,33.0,31.240178397912853,0,208,49.027884431590586,42.0,32.39865906228563,0.0200545,481308,5760,0.18230054939640486,0.6764705882352942,2441.2136095805595,1669.9247467318226
63,0,255,73.0190085830942,46.0,65.25463976448916,0,255,57.99138530382131,33.0,58.797617514820814,0,255,59.9767662339304,41.0,54.731540009823576,0.013184833333333333,316436,3060,0.424671285800452,1.4457831325301205,2794.3980836567266,1736.7959144977183
64,1,187,67.26484174399792,69.0,44.36605732289278,0,185,50.05345592355841,41.0,35.2794171479545,0,196,55.19816431269373,49.0,35.77181740908694,0.02632075,631698,5975,0.22235328329258208,1.3795620437956204,2633.491848953139,2293.66958578308
65,2,202,59.47885162858333,51.0,41.52924318853662,0,177,39.97087426694976,31.0,31.198525113432456,0,225,52.611186397864515,43.0,38.92540580006507,0.024412833333333335,585908,5937,0.2088840090025007,0.70625,3373.477829283778,1831.8170429487222
66,0,255,91.45933148573747,93.0,66.04640040410699,0,255,72.9335169663377,66.0,58.18152926965298,0,255,70.81611802081925,57.0,59.954408305061946,0.024656666666666667,591760,6612,0.17009430768672176,1.423264907135875,2687.230444774909,1850.622211707449
67,0,255,110.33575888522968,99.0,59.10087198833934,0,255,89.91863375911366,85.0,54.383227652754954,0,255,88.1391178542194,74.0,55.414982527553725,0.017510333333333333,420248,5088,0.20399584135029974,1.7766990291262137,2671.3046582018237,1764.2638917972245
68,5,255,109.28607334922945,104.0,59.923689298199605,4,255,92.61858091020758,88.0,54.366568721531756,4,255,84.73291683440168,74.0,52.80507302480723,0.0161465,387516,4097,0.29011325699547197,1.0714285714285714,3904.9849915874443,2228.6927197844734
69,0,232,63.17977607310057,52.0,46.06679906450284,1,253,61.18455167616147,56.0,41.134045869262714,0,255,54.62972154849869,48.0,44.47146614823877,0.017729,425496,4214,0.301103832419539,0.8045112781954887,2840.400483200782,2292.1353808261415
70,0,255,50.69719805233796,40.0,37.87117693518929,0,255,48.74256525868751,41.0,34.63127780344889,0,255,44.75581896787013,39.0,37.399605135251626,0.015266166666666667,366388,3844,0.31159059977051906,0.5634920634920635,2950.4872867015297,2384.6624125244275
